MiniDOT Logger Concatenated Data File
Sensor:             7450-030944
Concatenation Date: 2023Aug17 11:26:11 AST

DO concentration compensated for salinity: 40.5 (ppt)
Saturation computed at elevation: 0.0 (meter)

"            Unix Timestamp,               UTC_Date_&_Time,          Arabia Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q"
"                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)"
"                1690221060,           2023-07-24 17:51:00,           2023-07-24 20:51:00,      3.510000,     19.540000,          6.795788,                    94.149305,      0.961000"
"                1690221660,           2023-07-24 18:01:00,           2023-07-24 21:01:00,      3.510000,     19.532000,          6.802769,                    94.232297,      0.961000"
"                1690222260,           2023-07-24 18:11:00,           2023-07-24 21:11:00,      3.510000,     19.515000,          6.797839,                    94.134873,      0.961000"
"                1690222860,           2023-07-24 18:21:00,           2023-07-24 21:21:00,      3.510000,     19.498000,          6.789762,                    93.993939,      0.960000"
"                1690223460,           2023-07-24 18:31:00,           2023-07-24 21:31:00,      3.510000,     19.482000,          6.805296,                    94.181527,      0.961000"
"                1690224060,           2023-07-24 18:41:00,           2023-07-24 21:41:00,      3.510000,     19.457000,          6.801053,                    94.079956,      0.960000"
"                1690224660,           2023-07-24 18:51:00,           2023-07-24 21:51:00,      3.510000,     19.457000,          6.804985,                    94.134357,      0.961000"
"                1690225260,           2023-07-24 19:01:00,           2023-07-24 22:01:00,      3.510000,     19.431000,          6.814101,                    94.215797,      0.961000"
"                1690225860,           2023-07-24 19:11:00,           2023-07-24 22:11:00,      3.510000,     19.440000,          6.799269,                    94.026149,      0.960000"
"                1690226460,           2023-07-24 19:21:00,           2023-07-24 22:21:00,      3.510000,     19.423000,          6.804563,                    94.070212,      0.960000"
"                1690227060,           2023-07-24 19:31:00,           2023-07-24 22:31:00,      3.510000,     19.406000,          6.819295,                    94.244653,      0.962000"
"                1690227660,           2023-07-24 19:41:00,           2023-07-24 22:41:00,      3.510000,     19.406000,          6.799634,                    93.972930,      0.960000"
"                1690228260,           2023-07-24 19:51:00,           2023-07-24 22:51:00,      3.510000,     19.381000,          6.806401,                    94.023577,      0.960000"
"                1690228860,           2023-07-24 20:01:00,           2023-07-24 23:01:00,      3.510000,     19.373000,          6.803156,                    93.965036,      0.960000"
"                1690229460,           2023-07-24 20:11:00,           2023-07-24 23:11:00,      3.510000,     19.381000,          6.801682,                    93.958396,      0.960000"
"                1690230060,           2023-07-24 20:21:00,           2023-07-24 23:21:00,      3.510000,     19.356000,          6.807663,                    93.998125,      0.960000"
"                1690230660,           2023-07-24 20:31:00,           2023-07-24 23:31:00,      3.510000,     19.364000,          6.810122,                    94.045801,      0.961000"
"                1690231260,           2023-07-24 20:41:00,           2023-07-24 23:41:00,      3.510000,     19.347000,          6.814628,                    94.078847,      0.961000"
"                1690231860,           2023-07-24 20:51:00,           2023-07-24 23:51:00,      3.510000,     19.347000,          6.812269,                    94.046278,      0.961000"
"                1690232460,           2023-07-24 21:01:00,           2023-07-25 00:01:00,      3.510000,     19.356000,          6.808449,                    94.008983,      0.961000"
"                1690233060,           2023-07-24 21:11:00,           2023-07-25 00:11:00,      3.510000,     19.364000,          6.803830,                    93.958923,      0.960000"
"                1690233660,           2023-07-24 21:21:00,           2023-07-25 00:21:00,      3.510000,     19.339000,          6.805879,                    93.944337,      0.960000"
"                1690234260,           2023-07-24 21:31:00,           2023-07-25 00:31:00,      3.510000,     19.364000,          6.798326,                    93.882905,      0.960000"
"                1690234860,           2023-07-24 21:41:00,           2023-07-25 00:41:00,      3.510000,     19.356000,          6.803731,                    93.943835,      0.961000"
"                1690235460,           2023-07-24 21:51:00,           2023-07-25 00:51:00,      3.510000,     19.331000,          6.814429,                    94.048624,      0.961000"
"                1690236060,           2023-07-24 22:01:00,           2023-07-25 01:01:00,      3.510000,     19.347000,          6.806765,                    93.970286,      0.960000"
"                1690236660,           2023-07-24 22:11:00,           2023-07-25 01:11:00,      3.510000,     19.347000,          6.802833,                    93.916005,      0.960000"
"                1690237260,           2023-07-24 22:21:00,           2023-07-25 01:21:00,      3.510000,     19.347000,          6.802046,                    93.905149,      0.960000"
"                1690237860,           2023-07-24 22:31:00,           2023-07-25 01:31:00,      3.510000,     19.347000,          6.802833,                    93.916005,      0.961000"
"                1690238460,           2023-07-24 22:41:00,           2023-07-25 01:41:00,      3.510000,     19.339000,          6.809810,                    93.998609,      0.961000"
"                1690239060,           2023-07-24 22:51:00,           2023-07-25 01:51:00,      3.510000,     19.331000,          6.806566,                    93.940098,      0.960000"
"                1690239660,           2023-07-24 23:01:00,           2023-07-25 02:01:00,      3.510000,     19.347000,          6.804405,                    93.937718,      0.960000"
"                1690240260,           2023-07-24 23:11:00,           2023-07-25 02:11:00,      3.510000,     19.322000,          6.803308,                    93.879716,      0.960000"
"                1690240860,           2023-07-24 23:21:00,           2023-07-25 02:21:00,      3.510000,     19.322000,          6.815103,                    94.042476,      0.961000"
"                1690241460,           2023-07-24 23:31:00,           2023-07-25 02:31:00,      3.510000,     19.314000,          6.806354,                    93.908026,      0.960000"
"                1690242060,           2023-07-24 23:41:00,           2023-07-25 02:41:00,      3.510000,     19.305000,          6.807028,                    93.901895,      0.960000"
"                1690242660,           2023-07-24 23:51:00,           2023-07-25 02:51:00,      3.510000,     19.289000,          6.813906,                    93.969300,      0.960000"
"                1690243260,           2023-07-25 00:01:00,           2023-07-25 03:01:00,      3.510000,     19.289000,          6.816264,                    94.001830,      0.961000"
"                1690243860,           2023-07-25 00:11:00,           2023-07-25 03:11:00,      3.510000,     19.272000,          6.817625,                    93.991394,      0.961000"
"                1690244460,           2023-07-25 00:21:00,           2023-07-25 03:21:00,      3.510000,     19.305000,          6.811746,                    93.966976,      0.960000"
"                1690245060,           2023-07-25 00:31:00,           2023-07-25 03:31:00,      3.510000,     19.297000,          6.809288,                    93.919337,      0.960000"
"                1690245660,           2023-07-25 00:41:00,           2023-07-25 03:41:00,      3.510000,     19.289000,          6.812333,                    93.947613,      0.961000"
"                1690246260,           2023-07-25 00:51:00,           2023-07-25 03:51:00,      3.510000,     19.297000,          6.806142,                    93.875956,      0.960000"
"                1690246860,           2023-07-25 01:01:00,           2023-07-25 04:01:00,      3.510000,     19.297000,          6.814005,                    93.984408,      0.961000"
"                1690247460,           2023-07-25 01:11:00,           2023-07-25 04:11:00,      3.510000,     19.305000,          6.809387,                    93.934435,      0.960000"
