data2,data1,loggerUid,logDateTime,dateTime,PAR,control
32.13,0,CDFB19377155,1690482000,27-07-2023 21:20:00,4.975,
32.13,0,CDFB19377155,1690482600,27-07-2023 21:30:00,4.975,
32.13,0,CDFB19377155,1690483200,27-07-2023 21:40:00,4.975,
32.13,0,CDFB19377155,1690483800,27-07-2023 21:50:00,4.975,
32.13,0,CDFB19377155,1690484400,27-07-2023 22:00:00,4.975,
32.13,0,CDFB19377155,1690485000,27-07-2023 22:10:00,4.975,
32.13,0,CDFB19377155,1690485600,27-07-2023 22:20:00,4.975,
32.13,0,CDFB19377155,1690486200,27-07-2023 22:30:00,4.975,
32.31,0,CDFB19377155,1690486800,27-07-2023 22:40:00,4.975,
32.38,0,CDFB19377155,1690487400,27-07-2023 22:50:00,4.975,
32.44,0,CDFB19377155,1690488000,27-07-2023 23:00:00,4.975,
32.5,0,CDFB19377155,1690488600,27-07-2023 23:10:00,4.975,
32.56,0,CDFB19377155,1690489200,27-07-2023 23:20:00,4.975,
32.63,0,CDFB19377155,1690489800,27-07-2023 23:30:00,4.975,
32.69,0,CDFB19377155,1690490400,27-07-2023 23:40:00,4.975,
32.69,0,CDFB19377155,1690491000,27-07-2023 23:50:00,4.975,
32.63,0,CDFB19377155,1690491600,28-07-2023 00:00:00,4.975,
32.63,0,CDFB19377155,1690492200,28-07-2023 00:10:00,4.975,
32.75,0,CDFB19377155,1690492800,28-07-2023 00:20:00,4.975,
32.94,0,CDFB19377155,1690493400,28-07-2023 00:30:00,4.975,
33,0,CDFB19377155,1690494000,28-07-2023 00:40:00,4.975,
33.06,0,CDFB19377155,1690494600,28-07-2023 00:50:00,4.975,
33,0,CDFB19377155,1690495200,28-07-2023 01:00:00,4.975,
33,0,CDFB19377155,1690495800,28-07-2023 01:10:00,4.975,
33,0,CDFB19377155,1690496400,28-07-2023 01:20:00,4.975,
33,0,CDFB19377155,1690497000,28-07-2023 01:30:00,4.975,
33,0,CDFB19377155,1690497600,28-07-2023 01:40:00,4.975,
32.94,0,CDFB19377155,1690498200,28-07-2023 01:50:00,4.975,
32.88,0,CDFB19377155,1690498800,28-07-2023 02:00:00,4.975,
32.88,0,CDFB19377155,1690499400,28-07-2023 02:10:00,4.975,
32.81,0,CDFB19377155,1690500000,28-07-2023 02:20:00,4.975,
32.75,0,CDFB19377155,1690500600,28-07-2023 02:30:00,4.975,
32.81,0,CDFB19377155,1690501200,28-07-2023 02:40:00,4.975,
32.81,0,CDFB19377155,1690501800,28-07-2023 02:50:00,4.975,
32.81,0,CDFB19377155,1690502400,28-07-2023 03:00:00,4.975,
32.81,0,CDFB19377155,1690503000,28-07-2023 03:10:00,4.975,
